GenCat,Title,Url,Author,BuildDate,BuildTime,Scaling,PubDate,PubTime,OnlineDays,OnlineTime,Kicker,KickerTitle,DeltaDays,Id
"Sports","Penny Chenery, Owner of the Triple Crown Winner Secretariat, Dies at 95","https://www.nytimes.com/2017/09/17/sports/horse-racing/penny-chenery-dead.html","Richard Goldstein","9/18/17","9:49:57",250,"9/18/17","12:24:56","0 days","21:25:01","No","None","Less than 1 day",100000003863496
"Business","Answers to Your Questions About the Equifax Hack","https://www.nytimes.com/2017/09/17/smarter-living/equifax-hack-tips.html","Tim Herrera","9/18/17","21:44:11",250,"9/18/17","01:39:06","0 days","20:05:05","No","None","Less than 1 day",100000005431206
"U.S.","Trump Lawyers Clash Over How Much to Cooperate With Russia Inquiry","https://www.nytimes.com/2017/09/17/us/politics/trump-lawyers-white-house-russia-mcgahn-ty-cobb.html","Peter Baker","9/18/17","21:44:11",250,"9/18/17","02:30:36","0 days","19:13:35","No","None","Less than 1 day",100000005436119
"World","The Rare, Potent Fuel Powering North Korea's Weapons","https://www.nytimes.com/2017/09/17/world/asia/north-korea-rocket-fuel-missiles.html","William J. Broad et al.","9/18/17","18:27:53",250,"9/18/17","03:13:59","0 days","15:13:54","No","None","Less than 1 day",100000005434785
"Arts","Review: The Emmys Figured Out How to Handle Trump","https://www.nytimes.com/2017/09/18/arts/television/review-emmys.html","Mike Hale","9/18/17","18:27:53",250,"9/18/17","04:34:08","0 days","13:53:45","No","None","Less than 1 day",100000005426969
"Business","Dylan, Obama and a Crown of Thorns: 50 Years of Rolling Stone","https://www.nytimes.com/2017/09/17/business/media/rolling-stone-covers.html","Sydney Ember et al.","9/18/17","15:25:21",250,"9/18/17","01:57:38","0 days","13:27:43","No","None","Less than 1 day",100000005431346
"Business","Facebook Faces a New World as Officials Rein In a Wild Web","https://www.nytimes.com/2017/09/17/technology/facebook-government-regulations.html","Paul Mozur et al.","9/18/17","21:44:11",250,"9/18/17","08:29:51","0 days","13:14:20","No","None","Less than 1 day",100000004612619
"Science","By Degrees: The Real Unknown of Climate Change: Our Behavior","https://www.nytimes.com/2017/09/18/climate/climate-change-denial.html","Justin Gillis","9/18/17","21:44:11",250,"9/18/17","09:00:23","0 days","12:43:48","Yes","By Degrees","Less than 1 day",100000005428210
"World","Arrests in London Tube Bombing Stun a Suburban Town","https://www.nytimes.com/2017/09/18/world/europe/london-tube-bombing-suspects.html","Ceylan Yeginsu et al.","9/18/17","21:44:11",250,"9/18/17","21:08:43","0 days","12:35:28","No","None","Less than 1 day",100000005438519
"Arts","Emmy 2017 Speeches: Alec Baldwin, Lena Waithe, Donald Glover and More","https://www.nytimes.com/2017/09/17/arts/television/emmys-speeches.html","Sopan Deb","9/18/17","18:27:53",250,"9/18/17","06:21:05","0 days","12:06:48","No","None","Less than 1 day",100000005431399
"Health","Try These Love Hacks to Fix Your Marriage","https://www.nytimes.com/2017/09/18/well/family/try-these-love-hacks-to-fix-your-marriage.html","John Tierney","9/18/17","21:44:11",250,"9/18/17","10:00:01","0 days","11:44:10","No","None","Less than 1 day",100000005426829
"Sports","Friends, the Sitcom That's Still a Hit in Major League Baseball","https://www.nytimes.com/2017/09/18/sports/baseball/friends-tv-show-baseball-spanish.html","James Wagner","9/18/17","18:27:53",250,"9/18/17","06:58:23","0 days","11:29:30","No","None","Less than 1 day",100000005413195
"U.S.","Mediator: Facebook Knows More About Russia's Election Meddling. Shouldn't We?","https://www.nytimes.com/2017/09/17/business/facebook-russia.html","Jim Rutenberg et al.","9/18/17","21:44:11",250,"9/18/17","10:40:53","0 days","11:03:18","Yes","Mediator","Less than 1 day",100000005436494
"Arts","Stephen Colbert's Emmys Opening Monologue","https://www.nytimes.com/2017/09/17/arts/television/colbert-emmys.html","Sopan Deb","9/18/17","17:22:11",250,"9/18/17","06:25:13","0 days","10:56:58","No","None","Less than 1 day",100000005431407
"Health","The Checkup: When Adolescents Want Tattoos or Piercings","https://www.nytimes.com/2017/09/18/well/family/when-adolescents-want-tattoos-or-piercings.html","Perri Klass  M.D","9/18/17","21:44:11",250,"9/18/17","11:12:12","0 days","10:31:59","Yes","The Checkup","Less than 1 day",100000005434132
"Business","Rolling Stone, Once a Counterculture Bible, Will Be Put Up for Sale","https://www.nytimes.com/2017/09/17/business/rolling-stone-magazine-sale.html","Sydney Ember","9/18/17","15:25:21",250,"9/18/17","06:15:04","0 days","09:10:17","No","None","Less than 1 day",100000005435997
"World","Rohingya Militants Vow to Fight Myanmar Despite Disastrous Cost","https://www.nytimes.com/2017/09/17/world/asia/myanmar-rohingya-militants.html","Hannah Beech ","9/18/17","15:25:21",250,"9/18/17","06:50:36","0 days","08:34:45","No","None","Less than 1 day",100000005416074
"U.S.","Cuomo Proposes Stricter Regulations for Credit Reporting Agencies","https://www.nytimes.com/2017/09/18/nyregion/equifax-hack-credit-reporting-agencies-regulations.html","Ashley Southall ","9/18/17","15:25:21",250,"9/18/17","07:00:11","0 days","08:25:10","No","None","Less than 1 day",100000005437279
"World","What Happens When Marcus Samuelsson Takes Harlem to London?","https://www.nytimes.com/2017/09/18/travel/red-rooster-london-shoreditch-marcus-samuelsson.html","Nikita Stewart","9/18/17","21:44:11",250,"9/18/17","13:32:50","0 days","08:11:21","No","None","Less than 1 day",100000005415787
"World","Personal Journeys: From Poland to Lithuania: A Writer's Search for Her Jewish Past","https://www.nytimes.com/2017/09/18/travel/jewish-heritage-travel-poland-lithuania.html","Charly Wilder ","9/18/17","21:44:11",250,"9/18/17","13:32:51","0 days","08:11:20","Yes","Personal Journeys","Less than 1 day",100000005421816
"Sports","Essay: Safest Bet in Sports: Men Complaining About a Female Announcer's Voice","https://www.nytimes.com/2017/09/18/sports/nfl-beth-mowins-julie-dicaro.html","Julie Dicaro","9/18/17","21:44:11",250,"9/18/17","13:45:36","0 days","07:58:35","Yes","Essay","Less than 1 day",100000005432078
"Arts","The Holocaust Museum Sought Lessons on Syria. What It Got Was a Political Backlash.","https://www.nytimes.com/2017/09/17/arts/holocaust-museum-study-syria.html","Sopan Deb et al.","9/17/17","23:40:37",250,"9/18/17","15:54:39","0 days","07:45:35","No","None","Less than 1 day",100000005411682
"U.S.","California Today: California Today: A Political Push for Affordable Housing","https://www.nytimes.com/2017/09/18/us/california-today-a-political-push-for-affordable-housing.html","Conor Dougherty ","9/18/17","21:44:11",250,"9/18/17","14:06:58","0 days","07:37:13","Yes","California Today","Less than 1 day",100000005435008
"Business","A Down Payment With a Catch: You Must Be an Airbnb Host","https://www.nytimes.com/2017/09/18/your-money/mortgages/loftium-airbnb-down-payment.html","Tara Siegel Bernard","9/18/17","21:44:11",250,"9/18/17","14:27:44","0 days","07:16:27","No","None","Less than 1 day",100000005257608
"World","Iceland's Government Falls After Letter Asking to Pardon Pedophile","https://www.nytimes.com/2017/09/18/world/europe/iceland-government-collapse.html","Dan Bilefsky","9/18/17","21:44:11",250,"9/18/17","14:47:36","0 days","06:56:35","No","None","Less than 1 day",100000005438018
"World","Acid Attack in France Injures at Least 2 American Students","https://www.nytimes.com/2017/09/17/world/europe/marseille-france-acid-attack.html","Aurelien Breeden","9/18/17","21:44:11",250,"9/18/17","15:10:50","0 days","06:33:21","No","None","Less than 1 day",100000005436765
"Arts","Nonfiction: Survival of the Prettiest","https://www.nytimes.com/2017/09/18/books/review/evolution-of-beauty-richard-prum-charles-darwin.html","David Dobbs","9/18/17","15:25:21",250,"9/18/17","09:00:23","0 days","06:24:58","Yes","Nonfiction","Less than 1 day",100000005388472
"Business","On the Market: Homes for Sale in Toronto","https://www.nytimes.com/2017/09/18/realestate/homes-for-sale-in-toronto.html","Tara Deschamps","9/18/17","21:44:11",250,"9/18/17","15:51:37","0 days","05:52:34","Yes","On the Market","Less than 1 day",100000005417798
"Arts","In Fashion, the Beauty (and Challenge) of Looking Back","https://www.nytimes.com/2017/09/18/t-magazine/fashion-house-archives-inspiration.html","Alexander Fury","9/18/17","15:25:21",250,"9/18/17","09:50:15","0 days","05:35:06","No","None","Less than 1 day",100000005398470
"Arts","On Comedy: Meet a Looser, More Personal Seinfeld","https://www.nytimes.com/2017/09/18/arts/television/jerry-seinfeld-netflix-special.html","Jason Zinoman","9/18/17","21:44:11",250,"9/18/17","16:15:53","0 days","05:28:18","Yes","On Comedy","Less than 1 day",100000005431583
"Arts","Fashion Review: Old Hollywood Vavoom Dominated on the Emmys Red Carpet","https://www.nytimes.com/2017/09/18/fashion/emmys-red-carpet-dresses.html","Ruth La Ferla","9/18/17","21:44:11",250,"9/18/17","16:17:25","0 days","05:26:46","Yes","Fashion Review","Less than 1 day",100000005437551
"World","Despite Outrage Over Rohingya Crisis, Few Call for Sanctions on Myanmar","https://www.nytimes.com/2017/09/18/world/asia/myanmar-rohingya-sanctions.html","Austin Ramzy","9/18/17","15:25:21",250,"9/18/17","10:52:50","0 days","04:32:31","No","None","Less than 1 day",100000005437731
"World","Emmy Awards, London Underground, Hurricane Jose: Your Weekend Briefing","https://www.nytimes.com/2017/09/17/briefing/emmy-awards-london-hurricane-jose.html","Maya Salam et al.","9/17/17","23:40:37",250,"9/17/17","19:21:40","0 days","04:18:57","No","None","Less than 1 day",100000005434998
"U.S.","St. Louis Protests: Police Say They Owned the Night After 80 Arrests","https://www.nytimes.com/2017/09/17/us/jason-stockley-protests-st-louis.html","Tim O'neil et al.","9/18/17","21:44:11",250,"9/18/17","17:26:46","0 days","04:17:25","No","None","Less than 1 day",100000005436888
"Arts","The Best and Worst Moments of the 2017 Emmys","https://www.nytimes.com/2017/09/18/arts/television/emmys-best-worst-highlights.html","The New York Times","9/18/17","21:44:11",250,"9/18/17","18:05:47","0 days","03:38:24","No","None","Less than 1 day",100000005437725
"World","Hurricane Maria, Rohingya, Emmy Awards: Your Monday Briefing","https://www.nytimes.com/2017/09/18/briefing/hurricane-maria-rohingya-emmy-awards.html","Mark A. Walsh","9/18/17","16:33:48",250,"9/18/17","13:14:45","0 days","03:19:03","No","None","Less than 1 day",100000005421607
"Sports","N.F.L. Highlights: Here's What We Learned in Week 2","https://www.nytimes.com/2017/09/17/sports/nfl-week-2-scores.html","Benjamin Hoffman","9/18/17","18:27:53",250,"9/18/17","15:22:36","0 days","03:05:17","No","None","Less than 1 day",100000005436568
"U.S.","Despite Rising Seas and Bigger Storms, Florida's Land Rush Endures","https://www.nytimes.com/2017/09/18/us/florida-flood-irma-growth-.html","Lizette Alvarez","9/18/17","21:44:11",250,"9/18/17","18:39:51","0 days","03:04:20","No","None","Less than 1 day",100000005436023
"World","Europe Edition: United Nations, Facebook, Hamas: Your Monday Briefing","https://www.nytimes.com/2017/09/18/briefing/united-nations-facebook-hamas.html","Patrick Boehler","9/18/17","08:41:38",250,"9/18/17","05:55:28","0 days","02:46:10","Yes","Europe Edition","Less than 1 day",100000005420419
"Business","G.M. Workers Strike in Canada as Mexico Jobs Raise Tension","https://www.nytimes.com/2017/09/18/business/general-motors-strike-canada.html","Ian Austen","9/18/17","21:44:11",250,"9/18/17","19:03:36","0 days","02:40:35","No","None","Less than 1 day",100000005438838
"World","Asia and Australia Edition: London, North Korea, Rohingya: Your Monday Briefing","https://www.nytimes.com/2017/09/17/briefing/london-north-korea-rohingya.html","Charles McDermid","9/18/17","03:30:52",250,"9/18/17","00:54:29","0 days","02:36:23","Yes","Asia and Australia Edition","Less than 1 day",100000005436570
"Arts","As Diller Island Sinks, Whitney Plans Major Artwork on Hudson","https://www.nytimes.com/2017/09/18/arts/design/whitney-museum-david-hammons-diller.html","Robin Pogrebin et al.","9/18/17","21:44:11",250,"9/18/17","19:08:36","0 days","02:35:35","No","None","Less than 1 day",100000005435815
"Health","Amid Opioid Crisis, Insurers Restrict Pricey, Less Addictive Painkillers","https://www.nytimes.com/2017/09/17/health/opioid-painkillers-insurance-companies.html","Katie Thomas et al.","9/18/17","18:27:53",250,"9/18/17","16:06:18","0 days","02:21:35","No","None","Less than 1 day",100000005427047
"U.S.","When Affirmative Action Isn't Enough","https://www.nytimes.com/2017/09/17/us/affirmative-action-college.html","Dana Goldstein","9/18/17","08:41:38",250,"9/18/17","06:47:41","0 days","01:53:57","No","None","Less than 1 day",100000005390731
"U.S.","Trump Tweets Doctored GIF of His Golf Ball Hitting Hillary Clinton","https://www.nytimes.com/2017/09/17/us/politics/hillary-golfball-trump-tweets.html","Christina Caron","9/18/17","16:33:48",250,"9/18/17","15:10:21","0 days","01:23:27","No","None","Less than 1 day",100000005436547
"U.S.","Republicans Demand Another Vote to Repeal the Affordable Care Act","https://www.nytimes.com/2017/09/18/us/politics/obamacare-repeal-vote.html","Robert Pear","9/18/17","21:44:11",250,"9/18/17","20:27:40","0 days","01:16:31","No","None","Less than 1 day",100000005438329
"Health","In Alaska's Far-Flung Villages, Happiness Is a Cake Mix","https://www.nytimes.com/2017/09/17/dining/cake-mix-alaska.html","Julia O'Malley","9/18/17","15:25:21",250,"9/18/17","14:20:34","0 days","01:04:47","No","None","Less than 1 day",100000005216966
"World","Trump Pushes U.N. on Reform and Hints He May Quit Iran Nuclear Deal","https://www.nytimes.com/2017/09/18/world/americas/trump-united-nations.html","Peter Baker et al.","9/18/17","21:44:11",250,"9/18/17","20:49:05","0 days","00:55:06","No","None","Less than 1 day",100000005438425
"World","Asia and Australia Edition: North Korea, Rohingya, Hurricane Maria: Your Tuesday Briefing","https://www.nytimes.com/2017/09/18/briefing/north-korea-rohingya-hurricane-maria.html","Charles McDermid","9/18/17","21:44:11",250,"9/18/17","21:12:28","0 days","00:31:43","Yes","Asia and Australia Edition","Less than 1 day",100000005436579
"Arts","Sean Spicer Says He Regrets Berating Reporters Over Inauguration Crowds","https://www.nytimes.com/2017/09/18/arts/television/sean-spicer-emmys.html","Glenn Thrush","9/18/17","21:44:11",250,"9/18/17","21:18:36","0 days","00:25:35","No","None","Less than 1 day",100000005438270
"Arts","Sean Spicer Joins Stephen Colbert at the Emmys","https://www.nytimes.com/2017/09/17/arts/sean-spicer-emmys.html","Daniel Victor","9/18/17","04:37:39",250,"9/18/17","04:34:11","0 days","00:03:28","No","None","Less than 1 day",100000005437532
"Arts","Live Briefing: Emmys 2017: Julia Louis-Dreyfus and a Big Win for Veep","https://www.nytimes.com/2017/09/17/arts/television/emmy-awards.html","John Koblin","9/18/17","02:54:31",250,"9/18/17","02:51:29","0 days","03:02:08","Yes","Live Briefing","Less than 1 day",100000005431258
"U.S.","How Party Bosses, Not Voters, Pick Politicians in New York","https://www.nytimes.com/2017/09/18/nyregion/new-york-politics-party-bosses.html","Shane Goldmacher","9/18/17","21:44:11",250,"9/18/17","21:43:25","0 days","00:00:46","No","None","Less than 1 day",100000005428583
